epoch,train_loss,val_loss,val_average_precision,val_roc_auc,learning_rate
1,1.3249921523607695,1.3037923574447632,0.09556182121971596,0.36071428571428577,0.001
2,1.3054446226511247,1.2947627305984497,0.11585514588610564,0.475,0.001
3,1.257626310372964,1.2894247770309448,0.13010620915032678,0.5249999999999999,0.001
4,1.241499751042097,1.290352702140808,0.12157287157287157,0.49642857142857144,0.001
5,1.2038609889837413,1.290958285331726,0.1155342242298764,0.43214285714285716,0.001
6,1.1979092558224995,1.293533205986023,0.11462842712842712,0.425,0.001
7,1.2303728537681775,1.296933889389038,0.11203379953379954,0.4035714285714286,0.001
8,1.2394960201703584,1.3030699491500854,0.10085978835978836,0.36071428571428577,0.001
9,1.1706640598101494,1.3122814893722534,0.09563492063492063,0.33214285714285713,0.001
10,1.2063089517446666,1.3139207363128662,0.0923303229337712,0.325,0.0005
11,1.1397075683642657,1.3155438899993896,0.09146825396825398,0.31785714285714284,0.0005
12,1.1663363041021886,1.3211461305618286,0.09085249042145595,0.3107142857142857,0.0005
13,1.1064932652008839,1.3223388195037842,0.08668582375478927,0.28928571428571426,0.0005
14,1.2091602362119234,1.3266931772232056,0.08649513568868408,0.28928571428571426,0.0005
15,1.1663735997982514,1.3305201530456543,0.08587937214188604,0.28214285714285714,0.0005
16,1.155464578897525,1.3316243886947632,0.08587937214188604,0.28214285714285714,0.00025
17,1.1738426715899737,1.3284534215927124,0.08649513568868408,0.28928571428571426,0.00025
18,1.1226396377270038,1.3268556594848633,0.08715651135005974,0.2928571428571428,0.00025
19,1.141382784415514,1.3280037641525269,0.08786876206231045,0.3,0.00025
20,1.149371142570789,1.3290799856185913,0.08509098428453267,0.28214285714285714,0.00025
21,1.1171347391911042,1.3326863050460815,0.08649513568868408,0.28928571428571426,0.00025
22,1.1610954510859954,1.3339879512786865,0.08715651135005974,0.2964285714285714,0.000125
23,1.0827447130129888,1.3362674713134766,0.08786876206231045,0.3035714285714286,0.000125
